2,joshallenqb,4984,2021-12-05 22:50:31.809537 +00:00,2021-12-05 22:38:42.248031 +00:00
3,jonathantaylorrb,6813,2021-12-05 22:50:31.810506 +00:00,2021-12-05 22:38:42.249119 +00:00
4,kylermurrayqb,5849,2021-12-05 22:50:31.811311 +00:00,2021-12-05 22:38:42.249650 +00:00
5,lamarjacksonqb,4881,2021-12-05 22:50:31.811995 +00:00,2021-12-05 22:38:42.250332 +00:00
6,justinherbertqb,6797,2021-12-05 22:50:31.812661 +00:00,2021-12-05 22:38:42.250904 +00:00
8,jamarrchasewr,7564,2021-12-05 22:50:31.813947 +00:00,2021-12-05 22:38:42.252313 +00:00
9,ceedeelambwr,6786,2021-12-05 22:50:31.814664 +00:00,2021-12-05 22:38:42.252982 +00:00
10,najeeharrisrb,7528,2021-12-05 22:50:31.815466 +00:00,2021-12-05 22:38:42.253494 +00:00
11,dandreswiftrb,6790,2021-12-05 22:50:31.816251 +00:00,2021-12-05 22:38:42.253956 +00:00
12,joeburrowqb,6770,2021-12-05 22:50:31.816921 +00:00,2021-12-05 22:38:42.254445 +00:00
13,dakprescottqb,3294,2021-12-05 22:50:31.817545 +00:00,2021-12-05 22:38:42.254895 +00:00
14,tyreekhillwr,3321,2021-12-05 22:50:31.818477 +00:00,2021-12-05 22:38:42.255336 +00:00
15,kylepittste,7553,2021-12-05 22:50:31.819100 +00:00,2021-12-05 22:38:42.255769 +00:00
16,javontewilliamsrb,7588,2021-12-05 22:50:31.819725 +00:00,2021-12-05 22:38:42.256205 +00:00
17,joemixonrb,4018,2021-12-05 22:50:31.820343 +00:00,2021-12-05 22:38:42.256640 +00:00
18,trevorlawrenceqb,7523,2021-12-05 22:50:31.820959 +00:00,2021-12-05 22:38:42.257073 +00:00
19,dkmetcalfwr,5846,2021-12-05 22:50:31.821608 +00:00,2021-12-05 22:38:42.257511 +00:00
20,ajbrownwr,5859,2021-12-05 22:50:31.822235 +00:00,2021-12-05 22:38:42.257983 +00:00
21,austinekelerrb,4663,2021-12-05 22:50:31.822865 +00:00,2021-12-05 22:38:42.258416 +00:00
22,christianmccaffreyrb,4034,2021-12-05 22:50:31.823533 +00:00,2021-12-05 22:38:42.258889 +00:00
23,cooperkuppwr,4039,2021-12-05 22:50:31.824144 +00:00,2021-12-05 22:38:42.259322 +00:00
24,jaylenwaddlewr,7526,2021-12-05 22:50:31.824969 +00:00,2021-12-05 22:38:42.259845 +00:00
25,nickchubbrb,4988,2021-12-05 22:50:31.825647 +00:00,2021-12-05 22:38:42.260414 +00:00
26,alvinkamararb,4035,2021-12-05 22:50:31.826283 +00:00,2021-12-05 22:38:42.261340 +00:00
27,davanteadamswr,2133,2021-12-05 22:50:31.826899 +00:00,2021-12-05 22:38:42.262153 +00:00
30,2023early1stpi,,2021-12-05 22:50:31.828540 +00:00,2021-12-05 22:38:42.263517 +00:00
29,stefondiggswr,2449,2021-12-05 22:50:31.829177 +00:00,2021-12-05 22:38:42.263107 +00:00
31,antoniogibsonrb,6945,2021-12-05 22:50:31.829777 +00:00,2021-12-05 22:38:42.264258 +00:00
32,dalvincookrb,4029,2021-12-05 22:50:31.830377 +00:00,2021-12-05 22:38:42.264681 +00:00
33,saquonbarkleyrb,4866,2021-12-05 22:50:31.831007 +00:00,2021-12-05 22:38:42.265102 +00:00
34,derrickhenryrb,3198,2021-12-05 22:50:31.831735 +00:00,2021-12-05 22:38:42.265539 +00:00
35,terrymclaurinwr,5927,2021-12-05 22:50:31.832356 +00:00,2021-12-05 22:38:42.265973 +00:00
36,macjonesqb,7527,2021-12-05 22:50:31.832978 +00:00,2021-12-05 22:38:42.266400 +00:00
37,treylanceqb,7610,2021-12-05 22:50:31.833592 +00:00,2021-12-05 22:38:42.266832 +00:00
38,justinfieldsqb,7591,2021-12-05 22:50:31.834209 +00:00,2021-12-05 22:38:42.267262 +00:00
39,chrisgodwinwr,4037,2021-12-05 22:50:31.834838 +00:00,2021-12-05 22:38:42.267729 +00:00
40,2022early1stpi,,2021-12-05 22:50:31.835448 +00:00,2021-12-05 22:38:42.268146 +00:00
41,diontaejohnsonwr,5937,2021-12-05 22:50:31.836080 +00:00,2021-12-05 22:38:42.268576 +00:00
