id,name_id,full_name,first_name,last_name,team,position,age,experience,college,injury_status,weight,height,jersey_number,active,updated_at,created_at
37,treylanceqb,Trey Lance,Trey,Lance,SFO,QB,21,0,North Dakota State,,224,"6'4""",5,true,2021-12-05 22:50:31.833359 +00:00,2021-12-05 22:23:32.126744 +00:00
39,justinfieldsqb,Justin Fields,Justin,Fields,CHI,QB,22,0,Ohio State,Out,228,"6'3""",1,true,2021-12-05 22:50:31.833977 +00:00,2021-12-05 22:23:32.130032 +00:00
38,chrisgodwinwr,Chris Godwin,Chris,Godwin,TBB,WR,25,4,Penn State,,208,"6'1""",14,true,2021-12-05 22:50:31.834595 +00:00,2021-12-05 22:23:32.128368 +00:00
41,diontaejohnsonwr,Diontae Johnson,Diontae,Johnson,PIT,WR,25,2,Toledo,,183,"5'10""",18,true,2021-12-05 22:50:31.835842 +00:00,2021-12-05 22:23:32.140461 +00:00
40,2022early1stpi,2022 Early 1st,2022,Early 1st,FA,PI,,0,,,,,0,,2021-12-05 22:50:31.835218 +00:00,2021-12-05 22:23:32.138496 +00:00
43,traviskelcete,Travis Kelce,Travis,Kelce,KCC,TE,32,8,Cincinnati,,256,"6'5""",87,true,2021-12-05 22:50:31.836464 +00:00,2021-12-05 22:23:32.143978 +00:00
44,devontasmithwr,DeVonta Smith,DeVonta,Smith,PHI,WR,23,0,Alabama,,170,"6'0""",6,true,2021-12-05 22:50:31.837697 +00:00,2021-12-05 22:23:32.145730 +00:00
42,djmoorewr,D.J. Moore,D.J.,Moore,CAR,WR,24,3,Maryland,,210,"6'0""",2,true,2021-12-05 22:50:31.837079 +00:00,2021-12-05 22:23:32.142260 +00:00
45,markandrewste,Mark Andrews,Mark,Andrews,BAL,TE,25,3,Oklahoma,,256,"6'5""",89,true,2021-12-05 22:50:31.838315 +00:00,2021-12-05 22:23:32.153701 +00:00
46,jkdobbinsrb,J.K. Dobbins,J.K.,Dobbins,BAL,RB,22,1,Ohio State,IR,214,"5'10""",27,true,2021-12-05 22:50:31.838942 +00:00,2021-12-05 22:23:32.155723 +00:00
47,michaelpittmanwr,Michael Pittman,Michael,Pittman,IND,WR,24,1,USC,,223,"6'4""",11,true,2021-12-05 22:50:31.839927 +00:00,2021-12-05 22:23:32.157488 +00:00
48,russellwilsonqb,Russell Wilson,Russell,Wilson,SEA,QB,33,9,Wisconsin,,215,"5'11""",3,true,2021-12-05 22:50:31.841046 +00:00,2021-12-05 22:23:32.158311 +00:00
49,matthewstaffordqb,Matthew Stafford,Matthew,Stafford,LAR,QB,33,12,Georgia,,220,"6'3""",9,true,2021-12-05 22:50:31.841853 +00:00,2021-12-05 22:23:32.158911 +00:00
50,2023mid1stpi,2023 Mid 1st,2023,Mid 1st,FA,PI,,0,,,,,0,,2021-12-05 22:50:31.842488 +00:00,2021-12-05 22:23:32.168729 +00:00
51,georgekittlete,George Kittle,George,Kittle,SFO,TE,28,4,Iowa,,250,"6'4""",85,true,2021-12-05 22:50:31.843098 +00:00,2021-12-05 22:23:32.169494 +00:00
53,tjhockensonte,T.J. Hockenson,T.J.,Hockenson,DET,TE,24,2,Iowa,,248,"6'5""",88,true,2021-12-05 22:50:31.844327 +00:00,2021-12-05 22:23:32.170527 +00:00
55,jalenhurtsqb,Jalen Hurts,Jalen,Hurts,PHI,QB,23,1,Oklahoma,Out,223,"6'1""",1,true,2021-12-05 22:50:31.844939 +00:00,2021-12-05 22:23:32.183538 +00:00
56,elijahmoorewr,Elijah Moore,Elijah,Moore,NYJ,WR,21,0,Ole Miss,,178,"5'10""",8,true,2021-12-05 22:50:31.846220 +00:00,2021-12-05 22:23:32.184074 +00:00
54,elijahmitchellrb,Elijah Mitchell,Elijah,Mitchell,SFO,RB,23,0,Louisiana-Lafayette,,200,"5'10""",25,true,2021-12-05 22:50:31.845590 +00:00,2021-12-05 22:23:32.170978 +00:00
57,darrenwallerte,Darren Waller,Darren,Waller,LVR,TE,29,6,Georgia Tech,Out,255,"6'6""",83,true,2021-12-05 22:50:31.846831 +00:00,2021-12-05 22:23:32.184667 +00:00
2,joshallenqb,Josh Allen,Josh,Allen,BUF,QB,25,3,Wyoming,,237,"6'5""",17,true,2021-12-05 22:50:31.808357 +00:00,2021-12-05 22:23:32.016126 +00:00
4,kylermurrayqb,Kyler Murray,Kyler,Murray,ARI,QB,24,2,Oklahoma,,207,"5'10""",1,true,2021-12-05 22:50:31.811019 +00:00,2021-12-05 22:23:32.017275 +00:00
61,jerryjeudywr,Jerry Jeudy,Jerry,Jeudy,DEN,WR,22,1,Alabama,,193,"6'1""",10,true,2021-12-05 22:50:31.849789 +00:00,2021-12-05 22:23:32.199930 +00:00
62,ajdillonrb,AJ Dillon,AJ,Dillon,GBP,RB,23,1,Boston College,,247,"6'0""",28,true,2021-12-05 22:50:31.850390 +00:00,2021-12-05 22:23:32.200385 +00:00
64,aaronjonesrb,Aaron Jones,Aaron,Jones,GBP,RB,27,4,Texas-El Paso,,208,"5'9""",33,true,2021-12-05 22:50:31.851012 +00:00,2021-12-05 22:23:32.201279 +00:00
65,marquisebrownwr,Marquise Brown,Marquise,Brown,BAL,WR,24,2,Oklahoma,,180,"5'9""",5,true,2021-12-05 22:50:31.852235 +00:00,2021-12-05 22:23:32.214814 +00:00
66,ezekielelliottrb,Ezekiel Elliott,Ezekiel,Elliott,DAL,RB,26,5,Ohio State,,228,"6'0""",21,true,2021-12-05 22:50:31.852885 +00:00,2021-12-05 22:23:32.215551 +00:00
67,chaseclaypoolwr,Chase Claypool,Chase,Claypool,PIT,WR,23,1,Notre Dame,,238,"6'4""",11,true,2021-12-05 22:50:31.853481 +00:00,2021-12-05 22:23:32.216309 +00:00
68,mikeevanswr,Mike Evans,Mike,Evans,TBB,WR,28,7,Texas A&M,,231,"6'5""",13,true,2021-12-05 22:50:31.854115 +00:00,2021-12-05 22:23:32.216964 +00:00
69,rashodbatemanwr,Rashod Bateman,Rashod,Bateman,BAL,WR,22,0,Minnesota,,210,"6'2""",12,true,2021-12-05 22:50:31.854714 +00:00,2021-12-05 22:23:32.217544 +00:00
70,deshaunwatsonqb,Deshaun Watson,Deshaun,Watson,HOU,QB,26,4,Clemson,Out,215,"6'2""",4,true,2021-12-05 22:50:31.855323 +00:00,2021-12-05 22:23:32.230364 +00:00
71,keenanallenwr,Keenan Allen,Keenan,Allen,LAC,WR,29,8,California,,211,"6'2""",13,true,2021-12-05 22:50:31.855940 +00:00,2021-12-05 22:23:32.232439 +00:00
72,deandrehopkinswr,DeAndre Hopkins,DeAndre,Hopkins,ARI,WR,29,8,Clemson,,212,"6'1""",10,true,2021-12-05 22:50:31.856829 +00:00,2021-12-05 22:23:32.234896 +00:00
73,2023late1stpi,2023 Late 1st,2023,Late 1st,FA,PI,,0,,,,,0,,2021-12-05 22:50:31.857437 +00:00,2021-12-05 22:23:32.236808 +00:00
74,clydeedwardshelairerb,Clyde Edwards-Helaire,Clyde,Edwards-Helaire,KCC,RB,22,1,LSU,Questionable,209,"5'8""",25,true,2021-12-05 22:50:31.858221 +00:00,2021-12-05 22:23:32.238567 +00:00
76,jamesrobinsonrb,James Robinson,James,Robinson,JAC,RB,23,1,Illinois State,,219,"5'9""",25,true,2021-12-05 22:50:31.858828 +00:00,2021-12-05 22:23:32.248408 +00:00
77,brandonaiyukwr,Brandon Aiyuk,Brandon,Aiyuk,SFO,WR,23,1,Arizona State,,200,"6'0""",11,true,2021-12-05 22:50:31.860030 +00:00,2021-12-05 22:23:32.250277 +00:00
75,travisetiennerb,Travis Etienne,Travis,Etienne,JAC,RB,22,0,Clemson,IR,210,"5'10""",1,true,2021-12-05 22:50:31.859432 +00:00,2021-12-05 22:23:32.246073 +00:00
78,amaricooperwr,Amari Cooper,Amari,Cooper,DAL,WR,27,6,Alabama,,210,"6'1""",19,true,2021-12-05 22:50:31.860650 +00:00,2021-12-05 22:23:32.251521 +00:00
79,joshjacobsrb,Josh Jacobs,Josh,Jacobs,LVR,RB,23,2,Alabama,,220,"5'10""",28,true,2021-12-05 22:50:31.861269 +00:00,2021-12-05 22:23:32.252473 +00:00
80,michaelcarterrb,Michael Carter,Michael,Carter,NYJ,RB,22,0,North Carolina,IR,201,"5'8""",32,true,2021-12-05 22:50:31.861894 +00:00,2021-12-05 22:23:32.261234 +00:00
81,darnellmooneywr,Darnell Mooney,Darnell,Mooney,CHI,WR,24,1,Tulane,,173,"5'11""",11,true,2021-12-05 22:50:31.862520 +00:00,2021-12-05 22:23:32.262230 +00:00
82,camakersrb,Cam Akers,Cam,Akers,LAR,RB,22,1,Florida State,PUP,212,"5'11""",23,true,2021-12-05 22:50:31.863131 +00:00,2021-12-05 22:23:32.263150 +00:00
83,2022late1stpi,2022 Late 1st,2022,Late 1st,FA,PI,,0,,,,,0,,2021-12-05 22:50:31.863737 +00:00,2021-12-05 22:23:32.264376 +00:00
85,calvinridleywr,Calvin Ridley,Calvin,Ridley,ATL,WR,26,3,Alabama,PUP,190,"6'1""",18,true,2021-12-05 22:50:31.865052 +00:00,2021-12-05 22:23:32.277104 +00:00
86,tonypollardrb,Tony Pollard,Tony,Pollard,DAL,RB,24,2,Memphis,,209,"6'0""",20,true,2021-12-05 22:50:31.865652 +00:00,2021-12-05 22:23:32.278037 +00:00
88,carsonwentzqb,Carson Wentz,Carson,Wentz,IND,QB,28,5,North Dakota State,,237,"6'5""",2,true,2021-12-05 22:50:31.866250 +00:00,2021-12-05 22:23:32.279959 +00:00
89,tombradyqb,Tom Brady,Tom,Brady,TBB,QB,44,21,Michigan,,225,"6'4""",12,true,2021-12-05 22:50:31.867509 +00:00,2021-12-05 22:23:32.280741 +00:00
87,patfreiermuthte,Pat Freiermuth,Pat,Freiermuth,PIT,TE,23,0,Penn State,,258,"6'5""",88,true,2021-12-05 22:50:31.866871 +00:00,2021-12-05 22:23:32.278933 +00:00
